Date,Close
2018-01-02,17.33
2018-01-03,17.26
2018-01-04,17.06
2018-01-05,16.94
2018-01-08,17.97
2018-01-09,17.87
2018-01-10,18.42
2018-01-11,19.01
2018-01-12,19.25
2018-01-16,19.1
2018-01-17,18
2018-01-18,17.59
2018-01-19,18.29
2018-01-22,18.26
2018-01-23,18.24
2018-01-24,17.38
2018-01-25,17.32
2018-01-26,17.34
2018-01-29,17.39
2018-01-30,17.04
2018-01-31,17.53
2018-02-01,18.62
2018-02-02,19.19
2018-02-05,18.36
2018-02-06,18.7
2018-02-07,19.87
2018-02-08,18.78
2018-02-09,18.35
2018-02-12,17.91
2018-02-13,18.63
2018-02-14,18.47
2018-02-15,18.28
2018-02-16,17.77
2018-02-20,16.51
2018-02-21,16.98
2018-02-22,17.11
2018-02-23,16.96
2018-02-26,17.83
2018-02-27,17.79
2018-02-28,17.62
2018-03-01,18.07
2018-03-02,18.03
2018-03-05,17.85
2018-03-06,18.65
2018-03-07,18.22
2018-03-08,18.39
2018-03-09,18.74
2018-03-12,18.48
2018-03-13,18.7
2018-03-14,18.46
2018-03-15,18.36
2018-03-16,18.74
2018-03-19,18.66
2018-03-20,18.5
2018-03-21,18.51
2018-03-22,16.87
2018-03-23,16.89
2018-03-26,18.05
2018-03-27,17.17
2018-03-28,17.51
2018-03-29,17.73
2018-04-02,16.92
2018-04-03,17.28
2018-04-04,17.45
2018-04-05,17.52
2018-04-06,17.66
2018-04-09,17.27
2018-04-10,17.5
2018-04-11,17.45
2018-04-12,17.61
2018-04-13,17.29
2018-04-16,17.21
2018-04-17,17.54
2018-04-18,18.35
2018-04-19,18.6
2018-04-20,18.56
2018-04-23,19.4
2018-04-24,19.74
2018-04-25,19.57
2018-04-26,19.75
2018-04-27,19.95
2018-04-30,19.57
2018-05-01,19.2
2018-05-02,19.73
2018-05-03,19.67
2018-05-04,19.41
2018-05-07,20.12
2018-05-08,20.24
2018-05-09,20.82
2018-05-10,20.53
2018-05-11,20.82
2018-05-14,21.5
2018-05-15,21.96
2018-05-16,24.52
2018-05-17,24.49
2018-05-18,23.4
2018-05-21,23.83
2018-05-22,23.38
2018-05-23,23.53
2018-05-24,23.92
2018-05-25,24.03
2018-05-29,24.14
2018-05-30,24.51
2018-05-31,23.68
2018-06-01,24.66
2018-06-04,24.52
2018-06-05,24.42
2018-06-06,23.65
2018-06-07,23.57
2018-06-08,23.49
2018-06-11,23.26
2018-06-12,23
2018-06-13,22.75
2018-06-14,22.75
2018-06-15,22.64
2018-06-18,22.96
2018-06-19,22.67
2018-06-20,22.49
2018-06-21,22.49
2018-06-22,22.39
2018-06-25,21.78
2018-06-26,22.33
2018-06-27,21.67
2018-06-28,21.52
2018-06-29,20.75
2018-07-02,21.32
2018-07-03,21.65
2018-07-05,22.1
2018-07-06,23.32
2018-07-09,23.46
2018-07-10,23.07
2018-07-11,22.73
2018-07-12,22.8
2018-07-13,22.95
2018-07-16,23.11
2018-07-17,23.74
2018-07-18,24.19
2018-07-19,24.64
2018-07-20,24.39
2018-07-23,24.96
2018-07-24,24.2
2018-07-25,24.82
2018-07-26,25.03
2018-07-27,23.98
2018-07-30,23.35
2018-07-31,23.39
2018-08-01,23.45
2018-08-02,23.48
2018-08-03,23.08
2018-08-06,23.57
2018-08-07,23.23
2018-08-08,26.65
2018-08-09,26.17
2018-08-10,26.53
2018-08-13,26.88
2018-08-14,28.18
2018-08-15,26.55
2018-08-16,26.55
2018-08-17,27.09
2018-08-20,27.59
2018-08-21,27.69
2018-08-22,27.24
2018-08-23,26.72
2018-08-24,26.68
2018-08-27,27.58
2018-08-28,28.7
2018-08-29,29.1
2018-08-30,29.35
2018-08-31,29.93
2018-09-04,29.94
2018-09-05,30.05
2018-09-06,29.73
2018-09-07,30.4
2018-09-10,30.75
2018-09-11,31
2018-09-12,31.39
2018-09-13,30.13
2018-09-14,29.68
2018-09-17,29.51
2018-09-18,29.55
2018-09-19,28.87
2018-09-20,28.21
2018-09-21,27.71
2018-09-24,28.52
2018-09-25,28.75
2018-09-26,28.65
2018-09-27,28.05
2018-09-28,28.41
2018-10-01,29.47
2018-10-02,29.22
2018-10-03,29.2
2018-10-04,26.59
2018-10-05,25.71
2018-10-08,25.97
2018-10-09,26.21
2018-10-10,24.91
2018-10-11,25.76
2018-10-12,27.13
2018-10-15,27.53
2018-10-16,28.59
2018-10-17,28.47
2018-10-18,27.79
2018-10-19,27.92
2018-10-22,28.43
2018-10-23,27.9
2018-10-24,26.9
2018-10-25,28.16
2018-10-26,25.29
2018-10-29,23.39
2018-10-30,24.22
2018-10-31,24.68
2018-11-01,25.37
2018-11-02,25.65
2018-11-05,25.83
2018-11-06,25.14
2018-11-07,25.48
2018-11-08,25.99
2018-11-09,25.17
2018-11-12,25.15
2018-11-13,24.9
2018-11-14,22.57
2018-11-15,22.11
2018-11-16,21.15
2018-11-19,20.71
2018-11-20,19.18
2018-11-21,20.71
2018-11-23,20.54
2018-11-26,21.54
2018-11-27,21.01
2018-11-28,22.02
2018-11-29,22.24
2018-11-30,22.64
2018-12-03,24.21
2018-12-04,22.59
2018-12-06,22
2018-12-07,20.25
2018-12-10,19.14
2018-12-11,18.87
2018-12-12,18.25
2018-12-13,16.57
2018-12-14,16.87
2018-12-17,15.91
2018-12-18,16.69
2018-12-19,16.42
2018-12-20,16.32
2018-12-21,15.72
2018-12-24,15.51
2018-12-26,16.88
2018-12-27,16.78
2018-12-28,17.15
2018-12-31,17.03
2019-01-02,17.57
2019-01-03,17.43
2019-01-04,18.24
2019-01-07,19.39
2019-01-08,19.88
2019-01-09,19.77
2019-01-10,19.44
2019-01-11,19.39
2019-01-14,22
2019-01-15,22.05
2019-01-16,21.7
2019-01-17,22.05
2019-01-18,22.85
2019-01-22,21.87
2019-01-23,21.66
2019-01-24,21.8
2019-01-25,22.62
2019-01-28,22.98
2019-01-29,23.04
2019-01-30,23.34
2019-01-31,23.43
2019-02-01,23.21
2019-02-04,23.32
2019-02-05,23.47
2019-02-06,25.49
2019-02-07,25.1
2019-02-08,25.05
2019-02-11,26
2019-02-12,26.78
2019-02-13,27.23
2019-02-14,26.96
2019-02-15,27.78
2019-02-19,28.46
2019-02-20,28.35
2019-02-21,27.63
2019-02-22,28.84
2019-02-25,29.21
2019-02-26,28.84
2019-02-27,28.86
2019-02-28,28.5
2019-03-01,28.37
2019-03-04,28.42
2019-03-05,28.5
2019-03-06,27.57
2019-03-07,27.7
2019-03-08,27.69
2019-03-11,28.43
2019-03-12,28.2
2019-03-13,28.11
2019-03-14,27.12
2019-03-15,27.5
2019-03-18,27.96
2019-03-19,27.21
2019-03-20,26.85
2019-03-21,27.3
2019-03-22,27.07
2019-03-25,28.03
2019-03-26,28.39
2019-03-27,28.87
2019-03-28,29.32
2019-03-29,29.44
2019-04-01,30.19
2019-04-02,29.5
2019-04-03,29.4
2019-04-04,29.6
2019-04-05,30.91
2019-04-08,30.89
2019-04-09,30.12
2019-04-10,30.34
2019-04-11,29.39
2019-04-12,30.39
2019-04-15,31.23
2019-04-16,31.66
2019-04-17,30.38
2019-04-18,29.83
2019-04-22,28.86
2019-04-23,29.38
2019-04-24,28.99
2019-04-25,29.33
2019-04-26,29.58
2019-04-29,28.8
2019-04-30,28.79
2019-05-01,29.11
2019-05-02,29.86
2019-05-03,30.94
2019-05-06,30.35
2019-05-07,29.65
2019-05-08,29.29
2019-05-09,29.06
2019-05-10,29.34
2019-05-13,26.23
2019-05-14,27.01
2019-05-15,27.16
2019-05-16,27.38
2019-05-17,26.34
2019-05-20,28.63
2019-05-21,29.5
2019-05-22,30.07
2019-05-23,29.99
2019-05-24,30.1
2019-05-28,29.26
2019-05-29,27.81
2019-05-30,28.58
2019-05-31,26.13
2019-06-03,26.82
2019-06-04,27.49
2019-06-05,27.41
2019-06-06,28.26
2019-06-07,28.92
2019-06-10,30.35
2019-06-11,30.56
2019-06-12,31.07
2019-06-13,31.99
2019-06-14,33.3
2019-06-17,33.89
2019-06-18,33.81
2019-06-19,32.57
2019-06-20,33.8
2019-06-21,34.53
2019-06-24,35.08
2019-06-25,34.23
2019-06-26,33.75
2019-06-27,34.86
2019-06-28,35.64
2019-07-01,35.86
2019-07-02,34.42
2019-07-03,34.52
2019-07-05,34.99
2019-07-08,34.97
2019-07-09,34.83
2019-07-10,35.25
2019-07-11,35.1
2019-07-12,35.44
2019-07-15,33.13
2019-07-16,32.75
2019-07-17,32.04
2019-07-18,32.85
2019-07-19,33.02
2019-07-22,32.77
2019-07-23,32.63
2019-07-24,33.1
2019-07-25,32.9
2019-07-26,32.82
2019-07-29,32.82
2019-07-30,32.25
2019-07-31,31.29
2019-08-01,32.76
2019-08-02,30.27
2019-08-05,30.44
2019-08-06,31.12
2019-08-07,30.92
2019-08-08,31.95
2019-08-09,30.85
2019-08-12,29.73
2019-08-13,31.26
2019-08-14,29.19
2019-08-15,29.21
2019-08-16,29.99
2019-08-19,30.07
2019-08-20,30.49
