Date,Close
2018-01-02,12.51
2018-01-03,12.63
2018-01-04,12.5
2018-01-05,12.96
2018-01-08,11.17
2018-01-09,11.99
2018-01-10,12.11
2018-01-11,12.8
2018-01-12,13.65
2018-01-16,12.85
2018-01-17,12.72
2018-01-18,12.69
2018-01-19,12.2
2018-01-22,12.65
2018-01-23,12.51
2018-01-24,11.73
2018-01-25,11.84
2018-01-26,11.7
2018-01-29,12.12
2018-01-30,11.43
2018-01-31,10.89
2018-02-01,10.68
2018-02-02,10.29
2018-02-05,9.68
2018-02-06,10.46
2018-02-07,10.03
2018-02-08,9.8
2018-02-09,9.95
2018-02-12,9.9
2018-02-13,10.31
2018-02-14,10.68
2018-02-15,10.66
2018-02-16,10.65
2018-02-20,12.3
2018-02-21,12.46
2018-02-22,12.38
2018-02-23,11.92
2018-02-26,11.34
2018-02-27,11.08
2018-02-28,9.83
2018-03-01,9.55
2018-03-02,9.59
2018-03-05,9.35
2018-03-06,9.44
2018-03-07,9.65
2018-03-08,9.02
2018-03-09,8.91
2018-03-12,9.42
2018-03-13,9
2018-03-14,9.01
2018-03-15,9.08
2018-03-16,9.49
2018-03-19,8.89
2018-03-20,9.2
2018-03-21,10.04
2018-03-22,10.15
2018-03-23,9.92
2018-03-26,10.22
2018-03-27,9.5
2018-03-28,9.34
2018-03-29,9.79
2018-04-02,9.72
2018-04-03,10.19
2018-04-04,10.91
2018-04-05,10.76
2018-04-06,11.17
2018-04-09,11.48
2018-04-10,12.21
2018-04-11,11.85
2018-04-12,10.59
2018-04-13,10.33
2018-04-16,10.26
2018-04-17,10.46
2018-04-18,10.93
2018-04-19,10.66
2018-04-20,10.9
2018-04-23,10.76
2018-04-24,10.62
2018-04-25,10.41
2018-04-26,10.92
2018-04-27,10.9
2018-04-30,10.67
2018-05-01,10.49
2018-05-02,10.86
2018-05-03,10.64
2018-05-04,10.8
2018-05-07,10.87
2018-05-08,10.86
2018-05-09,10.98
2018-05-10,10.99
2018-05-11,11.02
2018-05-14,12.05
2018-05-15,11.81
2018-05-16,13.45
2018-05-17,13.02
2018-05-18,12.97
2018-05-21,13.1
2018-05-22,13.6
2018-05-23,12.75
2018-05-24,12.92
2018-05-25,13.14
2018-05-29,13
2018-05-30,11.43
2018-05-31,11.53
2018-06-01,10.54
2018-06-04,8.36
2018-06-05,8.44
2018-06-06,8.03
2018-06-07,8.03
2018-06-08,7.99
2018-06-11,7.87
2018-06-12,7.99
2018-06-13,7.94
2018-06-14,7.55
2018-06-15,7.02
2018-06-18,6.94
2018-06-19,7.08
2018-06-20,6.98
2018-06-21,6.92
2018-06-22,7.05
2018-06-25,6.7
2018-06-26,7.04
2018-06-27,7.02
2018-06-28,7.1
2018-06-29,7.11
2018-07-02,7.28
2018-07-03,7.42
2018-07-05,7.74
2018-07-06,7.71
2018-07-09,7.88
2018-07-10,7.63
2018-07-11,7.44
2018-07-12,7.47
2018-07-13,7.47
2018-07-16,7.1
2018-07-17,7.24
2018-07-18,7.53
2018-07-19,7.48
2018-07-20,7.37
2018-07-23,7.57
2018-07-24,7.65
2018-07-25,7.71
2018-07-26,7.58
2018-07-27,7.4
2018-07-30,7.21
2018-07-31,7.05
2018-08-01,7.22
2018-08-02,7.05
2018-08-03,7.1
2018-08-06,7.49
2018-08-07,8.06
2018-08-08,8
2018-08-09,7.97
2018-08-10,7.74
2018-08-13,7.42
2018-08-14,7.53
2018-08-15,7.34
2018-08-16,7.42
2018-08-17,7.03
2018-08-20,7.04
2018-08-21,6.87
2018-08-22,6.72
2018-08-23,6.82
2018-08-24,7.33
2018-08-27,7.43
2018-08-28,7.37
2018-08-29,7.45
2018-08-30,7.03
2018-08-31,7.13
2018-09-04,7.17
2018-09-05,6.62
2018-09-06,6.67
2018-09-07,6.21
2018-09-10,6.26
2018-09-11,6.34
2018-09-12,6.22
2018-09-13,6.33
2018-09-14,6.16
2018-09-17,5.91
2018-09-18,5.95
2018-09-19,5.91
2018-09-20,6.17
2018-09-21,6.04
2018-09-24,6.15
2018-09-25,5.55
2018-09-26,5.33
2018-09-27,5.11
2018-09-28,5.22
2018-10-01,5.28
2018-10-02,5.5
2018-10-03,5.6
2018-10-04,5.46
2018-10-05,5.27
2018-10-08,5.26
2018-10-09,5.23
2018-10-10,5.02
2018-10-11,5.04
2018-10-12,5.15
2018-10-15,5.41
2018-10-16,5.56
2018-10-17,4.99
2018-10-18,4.92
2018-10-19,4.63
2018-10-22,4.59
2018-10-23,4.48
2018-10-24,4.2
2018-10-25,4.37
2018-10-26,4.21
2018-10-29,4.18
2018-10-30,4.23
2018-10-31,4.27
2018-11-01,4.83
2018-11-02,5.14
2018-11-05,5.24
2018-11-06,5.39
2018-11-07,5.61
2018-11-08,5.13
2018-11-09,5.12
2018-11-12,5
2018-11-13,4.29
2018-11-14,4.32
2018-11-15,4.64
2018-11-16,4.85
2018-11-19,4.84
2018-11-20,4.6
2018-11-21,4.79
2018-11-23,4.76
2018-11-26,4.56
2018-11-27,5.1
2018-11-28,5.43
2018-11-29,5.2
2018-11-30,5.22
2018-12-03,5.3
2018-12-04,4.99
2018-12-06,5
2018-12-07,4.86
2018-12-10,5.02
2018-12-11,4.94
2018-12-12,5.07
2018-12-13,5.1
2018-12-14,4.92
2018-12-17,4.87
2018-12-18,4.96
2018-12-19,4.95
2018-12-20,4.76
2018-12-21,4.44
2018-12-24,4.51
2018-12-26,4.69
2018-12-27,4.79
2018-12-28,4.72
2018-12-31,4.68
2019-01-02,4.81
2019-01-03,4.66
2019-01-04,4.95
2019-01-07,5.31
2019-01-08,5.21
2019-01-09,5.16
2019-01-10,5.37
2019-01-11,5.3
2019-01-14,5.16
2019-01-15,5.16
2019-01-16,5.42
2019-01-17,5.61
2019-01-18,5.87
2019-01-22,6.06
2019-01-23,6.24
2019-01-24,6.63
2019-01-25,6.91
2019-01-28,6.94
2019-01-29,6.74
2019-01-30,7.39
2019-01-31,8.01
2019-02-01,6.96
2019-02-04,6.86
2019-02-05,6.73
2019-02-06,6.85
2019-02-07,6.5
2019-02-08,6.27
