Date,Close
2018-06-28,18.02
2018-06-29,18.12
2018-07-02,18.01
2018-07-03,18.69
2018-07-05,17.88
2018-07-06,17.7
2018-07-09,17.39
2018-07-10,17.15
2018-07-11,16.87
2018-07-12,16.66
2018-07-13,16.9
2018-07-16,16.7
2018-07-17,16.43
2018-07-18,17.95
2018-07-19,17.57
2018-07-20,17.87
2018-07-23,17.14
2018-07-24,17.22
2018-07-25,16.6
2018-07-26,15.91
2018-07-27,16.42
2018-07-30,15.51
2018-07-31,15.03
2018-08-01,14.75
2018-08-02,13.96
2018-08-03,14.35
2018-08-06,15.05
2018-08-07,15.04
2018-08-08,15.56
2018-08-09,14.85
2018-08-10,14.72
2018-08-13,14.59
2018-08-14,14.84
2018-08-15,14.36
2018-08-16,14.49
2018-08-17,14.23
2018-08-20,14.35
2018-08-21,14.23
2018-08-22,14
2018-08-23,13.65
2018-08-24,13.61
2018-08-27,13.61
2018-08-28,13.44
2018-08-29,13.39
2018-08-30,13.22
2018-08-31,13.25
2018-09-04,12.51
2018-09-05,12.55
2018-09-06,13.18
2018-09-07,13.7
2018-09-10,13.7
2018-09-11,13.51
2018-09-12,13.58
2018-09-13,14.17
2018-09-14,14.52
2018-09-17,14.7
2018-09-18,15.02
2018-09-19,15.25
2018-09-20,15.85
2018-09-21,15.1
2018-09-24,15
2018-09-25,14.19
2018-09-26,14.29
2018-09-27,14.31
2018-09-28,14.86
2018-10-01,15.46
2018-10-02,16
2018-10-03,16.85
2018-10-04,16.94
2018-10-05,15.02
2018-10-08,14.4
2018-10-09,14.38
2018-10-10,13.74
2018-10-11,13.21
2018-10-12,13
2018-10-15,13.22
2018-10-16,12.49
2018-10-17,12.53
2018-10-18,12.23
2018-10-19,12.14
2018-10-22,12.01
2018-10-23,12
2018-10-24,11.85
2018-10-25,11.8
2018-10-26,11.99
2018-10-29,12.52
2018-10-30,12.67
2018-10-31,12.87
2018-11-01,13.2
2018-11-02,12.15
2018-11-05,13.22
2018-11-06,12.87
2018-11-07,12.6
2018-11-08,12.11
2018-11-09,12.63
2018-11-12,11.91
2018-11-13,6.73
2018-11-14,6.15
2018-11-15,5.96
2018-11-16,5.51
2018-11-19,5.01
2018-11-20,5.01
2018-11-21,5.48
2018-11-23,6
2018-11-26,6.48
2018-11-27,5.6
2018-11-28,6.2
2018-11-29,6.15
2018-11-30,6.17
2018-12-03,6.06
2018-12-04,6.01
2018-12-06,6.29
2018-12-07,5.9
2018-12-10,6.05
2018-12-11,6.09
2018-12-12,5.99
2018-12-13,5.17
2018-12-14,4.97
2018-12-17,4.58
2018-12-18,4.82
2018-12-19,4.81
2018-12-20,4.79
2018-12-21,4.46
2018-12-24,4.28
2018-12-26,4.25
2018-12-27,4.21
2018-12-28,4.28
2018-12-31,4.18
2019-01-02,4.58
2019-01-03,4.41
2019-01-04,4.88
2019-01-07,5.3
2019-01-08,5.1
2019-01-09,5.26
2019-01-10,5.57
2019-01-11,5.68
2019-01-14,5.8
2019-01-15,5.7
2019-01-16,6.1
2019-01-17,5.76
2019-01-18,5.92
2019-01-22,5.82
2019-01-23,5.83
2019-01-24,5.61
2019-01-25,5.61
2019-01-28,5.61
2019-01-29,5.36
2019-01-30,5.46
2019-01-31,5.6
2019-02-01,5.51
2019-02-04,5.4
2019-02-05,5.52
2019-02-06,5.71
2019-02-07,5.7
2019-02-08,5.75
2019-02-11,5.45
2019-02-12,5.65
2019-02-13,5.61
2019-02-14,5.55
2019-02-15,5.56
2019-02-19,5.63
2019-02-20,5.48
2019-02-21,5.57
2019-02-22,5.92
2019-02-25,6.05
2019-02-26,7.06
2019-02-27,7.45
2019-02-28,7.64
2019-03-01,7.38
2019-03-04,7.68
2019-03-05,7.66
2019-03-06,7.46
2019-03-07,7.5
2019-03-08,7.47
2019-03-11,7.52
2019-03-12,7.23
2019-03-13,7.45
2019-03-14,7.49
2019-03-15,7.44
2019-03-18,7.58
2019-03-19,7.7
2019-03-20,7.83
2019-03-21,7.85
2019-03-22,7.88
2019-03-25,7.74
2019-03-26,7.52
2019-03-27,7.63
2019-03-28,7.55
2019-03-29,7.44
2019-04-01,7.83
2019-04-02,8
2019-04-03,8.45
2019-04-04,8.3
2019-04-05,8.31
2019-04-08,8.16
2019-04-09,7.99
2019-04-10,8.32
2019-04-11,8.25
2019-04-12,8.43
2019-04-15,8.45
2019-04-16,8.5
2019-04-17,8.6
2019-04-18,8.54
2019-04-22,8.5
2019-04-23,8.58
2019-04-24,8.73
2019-04-25,8.71
2019-04-26,8.87
2019-04-29,9
2019-04-30,8.99
2019-05-01,8.72
2019-05-02,8.93
2019-05-03,8.85
2019-05-06,9.22
2019-05-07,10.39
2019-05-08,10.61
2019-05-09,10.35
2019-05-10,10.7
2019-05-13,11.16
2019-05-14,11
2019-05-15,11
2019-05-16,11.47
2019-05-17,10.74
2019-05-20,11.05
2019-05-21,11.15
2019-05-22,11.38
2019-05-23,11.04
2019-05-24,10.98
2019-05-28,10.91
2019-05-29,10.97
2019-05-30,11.09
2019-05-31,11.34
2019-06-03,10.8
2019-06-04,11.27
2019-06-05,11.53
2019-06-06,11.48
2019-06-07,11.99
2019-06-10,12.55
2019-06-11,12.49
2019-06-12,12.72
2019-06-13,12.84
2019-06-14,12.4
2019-06-17,12.68
2019-06-18,12.36
2019-06-19,12.04
2019-06-20,12.29
2019-06-21,12.67
2019-06-24,12.4
2019-06-25,12.12
2019-06-26,12.62
2019-06-27,12.23
2019-06-28,13
2019-07-01,13.5
2019-07-02,13.69
2019-07-03,13.55
2019-07-05,13.48
2019-07-08,13.75
2019-07-09,13.66
2019-07-10,13.95
2019-07-11,14.05
2019-07-12,14.23
2019-07-15,13.67
2019-07-16,14.04
2019-07-17,14.44
2019-07-18,14.44
2019-07-19,14.47
2019-07-22,14.71
2019-07-23,14.69
2019-07-24,14.84
2019-07-25,14.66
2019-07-26,15.18
2019-07-29,14.93
2019-07-30,14.96
2019-07-31,14.87
2019-08-01,14.45
2019-08-02,14
2019-08-05,13.2
2019-08-06,19.7
2019-08-07,19.41
2019-08-08,19.91
2019-08-09,20.05
2019-08-12,19.82
2019-08-13,21.33
2019-08-14,20.1
2019-08-15,19.78
2019-08-16,21.29
2019-08-19,22.12
2019-08-20,24.15
2019-08-21,24.21
2019-08-22,22.86
2019-08-23,22.4
2019-08-26,22.8
2019-08-27,21.85
2019-08-28,22.4
2019-08-29,22.25
2019-08-30,22.39
2019-09-03,22.42
2019-09-04,22.42
2019-09-05,22.53
2019-09-06,22.16
2019-09-09,21.35
2019-09-10,20
2019-09-11,21.98
2019-09-12,22.4
2019-09-13,22.36
2019-09-16,24.73
2019-09-17,23.3
2019-09-18,22.77
2019-09-19,22.41
2019-09-20,22.4
2019-09-23,22
2019-09-24,21.52
2019-09-25,22.5
2019-09-26,22.41
2019-09-27,21.61
2019-09-30,21.34
2019-10-01,21.08
2019-10-02,19.5
2019-10-03,20.09
2019-10-04,19.84
2019-10-07,19.93
2019-10-08,19.48
2019-10-09,19.49
2019-10-10,18.9
2019-10-11,19.55
2019-10-14,19.1
2019-10-15,18.9
2019-10-16,18.5
2019-10-17,18.82
2019-10-18,17.85
2019-10-21,18.17
2019-10-22,17.6
2019-10-23,18.77
2019-10-24,19.29
2019-10-25,18.84
2019-10-28,19.27
2019-10-29,19.42
2019-10-30,20.51
2019-10-31,20.3
2019-11-01,21.75
2019-11-04,21.77
2019-11-05,27.92
2019-11-06,29.28
2019-11-07,29.77
2019-11-08,30.58
2019-11-11,31.03
2019-11-12,29.09
2019-11-13,29.05
2019-11-14,27.7
2019-11-15,28.35
2019-11-18,28.6
2019-11-19,29.73
2019-11-20,32.22
2019-11-21,31.28
2019-11-22,32.27
2019-11-25,33.46
2019-11-26,35.13
2019-11-27,34.81
2019-11-29,35.21
2019-12-02,37.35
2019-12-03,38.05
2019-12-04,37.16
2019-12-05,36.8
2019-12-06,37.71
2019-12-09,35.4
2019-12-10,36.01
2019-12-11,33.93
2019-12-12,34.83
2019-12-13,33.16
2019-12-16,34.15
2019-12-17,34.06
2019-12-18,33.79
2019-12-19,34.26
2019-12-20,34.72
2019-12-23,34.86
2019-12-24,35.55
2019-12-26,36.46
2019-12-27,34.76
2019-12-30,34.35
2019-12-31,34.35
