Date,Close
2018-01-02,15.3
2018-01-03,15.5
2018-01-04,15.65
2018-01-05,15.6
2018-01-08,15.55
2018-01-09,15.5
2018-01-10,15.55
2018-01-11,15.85
2018-01-12,15.9
2018-01-16,15.95
2018-01-17,16
2018-01-18,16.05
2018-01-19,15.95
2018-01-22,15.85
2018-01-23,15.7
2018-01-24,15.15
2018-01-25,15.45
2018-01-26,15.2
2018-01-29,15
2018-01-30,15
2018-01-31,14.95
2018-02-01,14.95
2018-02-02,14.65
2018-02-05,14.1
2018-02-06,13.75
2018-02-07,17.4
2018-02-08,17.1
2018-02-09,17.15
2018-02-12,16.85
2018-02-13,17.35
2018-02-14,17.4
2018-02-15,17.85
2018-02-16,17.05
2018-02-20,17.35
2018-02-21,17.05
2018-02-22,16.75
2018-02-23,16.95
2018-02-26,16.95
2018-02-27,16.8
2018-02-28,17.1
2018-03-01,16.95
2018-03-02,17.1
2018-03-05,17.2
2018-03-06,17.3
2018-03-07,17.45
2018-03-08,17.85
2018-03-09,18.5
2018-03-12,18.8
2018-03-13,18.5
2018-03-14,18.4
2018-03-15,17.9
2018-03-16,18.4
2018-03-19,18.15
2018-03-20,18.2
2018-03-21,18.1
2018-03-22,17.8
2018-03-23,17.7
2018-03-26,18.05
2018-03-27,17.6
2018-03-28,17.5
2018-03-29,18.05
2018-04-02,17.5
2018-04-03,17.6
2018-04-04,17.7
2018-04-05,17.55
2018-04-06,17.45
2018-04-09,17.45
2018-04-10,17.7
2018-04-11,17.6
2018-04-12,17.55
2018-04-13,17.25
2018-04-16,17.3
2018-04-17,17.7
2018-04-18,17.6
2018-04-19,17.65
2018-04-20,17.65
2018-04-23,17.45
2018-04-24,17.15
2018-04-25,16.8
2018-04-26,17.05
2018-04-27,17
2018-04-30,17.15
2018-05-01,17.25
2018-05-02,17.25
2018-05-03,17.25
2018-05-04,17.5
2018-05-07,17.6
2018-05-08,17.85
2018-05-09,18.1
2018-05-10,18.3
2018-05-11,18.15
2018-05-14,17.2
2018-05-15,17.5
2018-05-16,17.65
2018-05-17,17.95
2018-05-18,18
2018-05-21,17.95
2018-05-22,17.8
2018-05-23,17.8
2018-05-24,17.8
2018-05-25,18
2018-05-29,17.9
2018-05-30,18
2018-05-31,18
2018-06-01,17.95
2018-06-04,17.85
2018-06-05,18.7
2018-06-06,18.9
2018-06-07,18.4
2018-06-08,17.85
2018-06-11,17.75
2018-06-12,17.85
2018-06-13,17.8
2018-06-14,17.7
2018-06-15,17.5
2018-06-18,17.1
2018-06-19,17
2018-06-20,16.55
2018-06-21,16.8
2018-06-22,17.1
2018-06-25,17
2018-06-26,17.35
2018-06-27,17.15
2018-06-28,18.25
2018-06-29,18.6
2018-07-02,18.4
2018-07-03,18.55
2018-07-05,18.8
2018-07-06,18.85
2018-07-09,19
